radius_meters,density_kg_per_m3
0.0,12630.0
64266.06060606061,12626.698984265906
128532.12121212122,12620.322233647861
192798.18181818182,12613.748185596094
257064.24242424243,12607.174137544327
321330.30303030304,12600.60008949256
385596.36363636365,12594.026041440791
449862.42424242425,12587.451993389026
514128.48484848486,12570.573816963028
578394.5454545454,12547.157671838024
642660.6060606061,12523.74152671302
706926.6666666666,12500.325381588013
771192.7272727273,12477.888647867152
835458.787878788,12460.219282616214
899724.8484848485,12442.549917365273
963990.9090909091,12424.880552114333
1028256.9696969697,12407.211186863393
1092523.0303030303,12389.541821612453
1156789.0909090908,12364.2979740471
1221055.1515151514,12338.859869537178
1285321.2121212122,12313.421765027253
1349587.2727272727,12287.983660517331
1413853.3333333333,12256.912352541935
1478119.3939393938,12216.783711227527
1542385.4545454546,12176.655069913118
1606651.5151515151,12136.526428598712
1670917.575757576,12096.397787284302
1735183.6363636365,12052.891960117893
1799449.696969697,12006.827409462187
1863715.7575757576,11960.762858806482
1927981.8181818181,11914.698308150773
1992247.878787879,11864.046557331822
2056513.9393939395,11799.226213500602
2120780.0,11734.405869669381
2185046.0606060605,11669.585525838162
2249312.1212121216,11604.765182006942
2313578.1818181816,11544.528818325638
2377844.2424242427,11486.274248595211
2442110.3030303027,11428.019678864786
2506376.3636363638,11369.76510913436
2570642.4242424243,11310.181893856641
2634908.484848485,11234.294252137555
2699174.5454545454,11158.406610418471
2763440.606060606,11082.518968699385
2827706.6666666665,11006.631326980301
2891972.7272727275,10927.747762253286
2956238.7878787876,10848.687287369776
3020504.8484848486,10769.626812486265
3084770.909090909,10690.566337602755
3149036.9696969697,10595.812506101565
3213303.0303030303,10495.5046203565
3277569.090909091,10395.196734611434
3341835.151515152,10294.88884886637
3406101.212121212,10182.905412866032
3470367.272727273,10060.836644189209
3534633.333333333,5640.0506107171
3598899.393939394,5603.864511041833
3663165.4545454546,5565.755331838673
3727431.515151515,5526.251558705591
3791697.5757575757,5486.747785572511
3855963.6363636362,5383.430960151602
3920229.696969697,5349.115680044719
3984495.757575758,5314.800399937835
4048761.818181818,5280.485119830951
4113027.878787879,5247.954203962645
4177293.9393939395,5217.343120163445
4241560.0,5186.732036364245
4305826.060606061,5156.120952565045
4370092.121212121,5125.509868765846
4434358.181818182,5094.898784966645
4498624.242424243,5064.2877011674445
4562890.303030303,5033.6766173682445
4627156.363636363,5003.065533569044
4691422.424242424,4971.531119680091
4755688.484848485,4936.000727264737
4819954.545454545,4900.470334849384
4884220.6060606055,4864.93994243403
4948486.666666667,4829.409550018676
5012752.7272727275,4793.879157603322
5077018.787878787,4758.348765187968
5141284.848484849,4722.818372772614
5205550.909090909,4687.28798035726
5269816.96969697,4651.7575879419055
5334083.03030303,4617.961552284906
5398349.090909091,4584.758921413454
5462615.151515151,4551.556290542002
5526881.212121212,4518.35365967055
5591147.272727273,4460.949855240302
5655413.333333333,4124.405824486911
5719679.393939394,3881.314012333153
5783945.454545455,3831.40500879329
5848211.515151516,3781.496005253427
5912477.575757575,3731.5870017135644
5976743.636363636,3592.03633284292
6041009.696969697,3463.5928952664276
6105275.757575758,3413.955249803132
6169541.818181818,3364.317604339837
6233807.878787879,3316.9928868451802
6298073.939393939,3288.9355818012805
6362340.0,3255.3
